iter	Logloss
0	0.689723053
1	0.6862781525
2	0.6833061981
3	0.6801486969
4	0.6769764709
5	0.6737598419
6	0.6705982971
7	0.6675178528
8	0.6644155884
9	0.661449585
10	0.6584505463
11	0.6552948761
12	0.6522207642
13	0.6495331573
14	0.6468019867
15	0.6438256836
16	0.64108284
17	0.6381115723
18	0.6350038528
19	0.6322232819
20	0.6293776321
21	0.6268614578
22	0.6240171432
23	0.6216313934
24	0.619260025
25	0.616605835
26	0.6138455582
27	0.6113357544
28	0.6086977386
29	0.6059879684
30	0.6035107803
31	0.6011207199
32	0.5984334564
33	0.5958520508
34	0.5935478973
35	0.590814743
36	0.5883361053
37	0.5864085007
38	0.5843052292
39	0.5820628357
40	0.5799885178
41	0.5776248932
42	0.5752781677
43	0.5728895569
44	0.5708556366
45	0.5690643311
46	0.5666674423
47	0.5646976089
48	0.5626339722
49	0.5602599335
50	0.5585741425
51	0.556383667
52	0.5542867661
53	0.5521346283
54	0.5499153137
55	0.5478091812
56	0.5457903671
57	0.5439908218
58	0.5420764923
59	0.5402807617
60	0.5384073639
61	0.5364931488
62	0.5343642426
63	0.5324725342
64	0.5302479172
65	0.5283063889
66	0.5262942505
67	0.5249948883
68	0.5229568863
69	0.5214129257
70	0.5196909332
71	0.51774086
72	0.5168128586
73	0.5150931168
74	0.5134218597
75	0.5114672852
76	0.5098309708
77	0.5080403137
78	0.5066721344
79	0.5049393082
80	0.5031459045
81	0.5013553619
82	0.4994629288
83	0.497902565
84	0.4962166595
85	0.4946012115
86	0.4930637741
87	0.491490097
88	0.4903703308
89	0.4889789581
90	0.4876229095
91	0.4860842514
92	0.4845394135
93	0.4829452515
94	0.4815158463
95	0.4798707199
96	0.4784045792
97	0.4765220642
98	0.47507164
99	0.4734608459
100	0.472130127
101	0.4707128143
102	0.469175415
103	0.4677082062
104	0.4665296173
105	0.4652206039
106	0.4639836502
107	0.4625569916
108	0.4609599304
109	0.4596154785
110	0.4584634399
111	0.4569178009
112	0.4556300354
