iter	Logloss
113	0.4544305038
114	0.4530387878
115	0.4516912842
116	0.4504586029
117	0.4490735245
118	0.4477389526
119	0.4466098785
120	0.445505867
121	0.4442783356
122	0.4429695892
123	0.4415195465
124	0.4399663162
125	0.4387436676
126	0.4375194168
127	0.4361470795
128	0.4347583771
129	0.4332400894
130	0.4322769165
131	0.4311801147
132	0.429982605
133	0.4285495758
134	0.4272425079
135	0.4259889221
136	0.4248804092
137	0.4236316299
138	0.4223950195
139	0.4213650131
140	0.4204166794
141	0.4194517517
142	0.4182470322
143	0.4170187378
144	0.4157966995
145	0.4147419739
146	0.4134864044
147	0.4122896957
148	0.4110884857
149	0.4098482513
150	0.408853302
151	0.407548027
152	0.4064632034
153	0.4053857422
154	0.4042299271
155	0.4031442261
156	0.402265625
157	0.4013047028
158	0.4001567841
159	0.3990663147
160	0.398017807
161	0.3969200897
162	0.3959571838
163	0.3951551056
164	0.3940273285
165	0.3932457733
166	0.3923355103
167	0.3914066315
168	0.390432663
169	0.3894711304
170	0.3887709427
171	0.3878508759
172	0.3870915604
173	0.3860955429
174	0.3851631546
175	0.3842395401
176	0.3833541107
177	0.3823494339
178	0.3813001251
179	0.3803318024
180	0.3796052933
181	0.3786235428
182	0.3776964569
183	0.3769016647
184	0.3759853745
185	0.3752442932
186	0.374540596
187	0.3737403107
188	0.3731565857
189	0.3724468231
190	0.3713618469
191	0.3703230286
192	0.3695290375
193	0.3687794876
194	0.3681074905
195	0.3674454117
196	0.3667606354
197	0.3658222198
198	0.3646894836
199	0.3637989044
200	0.3629588318
201	0.3621814346
202	0.3614529419
203	0.3606595612
204	0.3598513031
205	0.3590509796
206	0.358074913
207	0.3571216965
208	0.3563093567
209	0.3558140945
210	0.3551216125
211	0.3541834259
212	0.3534477997
213	0.3525205994
214	0.3517002106
215	0.3510535431
216	0.3504602051
217	0.3498809433
218	0.3489443207
219	0.3483398056
220	0.3476127243
221	0.3472120667
222	0.3465398788
223	0.3459339142
224	0.3451016235
225	0.3445979309
226	0.3438167572
227	0.3432362366
228	0.3426173019
229	0.3420050049
230	0.3415099716
231	0.3408439636
232	0.3401151657
233	0.339446373
234	0.3387059021
235	0.3380763245
236	0.3374001312
237	0.3367483139
238	0.3361895752
239	0.3354373932
240	0.3348901367
241	0.3343967056
242	0.3337668991
243	0.3330003357
244	0.3321421432
245	0.3316724014
246	0.3311535645
247	0.3304999161
248	0.3299057007
249	0.329336586
250	0.3285874176
251	0.3276650238
252	0.3269955826
253	0.326414299
254	0.3256492615
255	0.3249644852
256	0.3243789291
257	0.3237355804
258	0.3229364395
259	0.3221654892
260	0.3216918182
261	0.3210726166
262	0.3204930115
263	0.3200182343
264	0.3195032883
265	0.3188516617
266	0.3184832764
267	0.3177628326
268	0.3172394943
269	0.3167468262
270	0.3162336922
271	0.3157109833
272	0.3151992607
273	0.3145072556
274	0.3138868713
275	0.3134464836
276	0.3129211807
277	0.3124000168
278	0.3116888618
279	0.3109742928
280	0.3103666306
281	0.3096340561
282	0.3089565277
283	0.3084825325
284	0.3080255699
285	0.307398243
286	0.30666996
287	0.3063182449
288	0.3059679413
289	0.3054011917
290	0.3048428535
291	0.3042626953
292	0.3034856033
293	0.3028686523
294	0.3021940994
295	0.3016501999
296	0.3012014008
297	0.3007203674
298	0.3001867676
299	0.2998032761
300	0.2995168495
301	0.2991035843
302	0.2985489655
303	0.297988739
304	0.297471714
305	0.2968818283
306	0.2963220024
307	0.2958895683
308	0.2952617455
309	0.2948341179
310	0.2941452026
311	0.2936896133
312	0.2929795074
313	0.2924921036
314	0.2920540047
315	0.2915365601
316	0.2908700371
317	0.2904298019
318	0.2901299667
319	0.2894507599
320	0.2891403198
321	0.2887095642
322	0.2883701706
323	0.2877800751
324	0.28745121
325	0.2868907166
326	0.2864043808
327	0.2860918045
328	0.2855852699
329	0.2850610924
330	0.2845437622
331	0.2841410637
332	0.2835767365
333	0.2830242729
334	0.2825372696
335	0.282088604
336	0.2816490173
337	0.2812690735
338	0.2807748985
339	0.280375061
340	0.2798759842
341	0.2792893982
342	0.278747673
343	0.2782426262
344	0.2777972794
345	0.2772684669
346	0.2767954254
347	0.276321106
348	0.2760986137
349	0.2755678558
350	0.2751592636
351	0.2748104477
352	0.2743923187
353	0.2739120483
354	0.2734135628
355	0.2729456139
356	0.2725247192
357	0.272097702
358	0.2716397095
359	0.2712388611
360	0.2708288956
361	0.2705303383
362	0.2700460052
363	0.2697066116
364	0.2692469978
365	0.268841095
366	0.268432312
367	0.267980957
368	0.2675860214
369	0.2671472931
370	0.2666391373
371	0.2662749863
372	0.2659283829
373	0.2655196381
374	0.2651663971
375	0.2647278786
376	0.2644147873
377	0.2640636063
378	0.2637836266
379	0.2633708954
380	0.263035717
381	0.2626063919
382	0.2621944809
383	0.2618468285
384	0.261535511
385	0.2611741638
386	0.2607923698
387	0.2605165672
388	0.2601599884
389	0.2597799683
390	0.2595053864
391	0.259047451
392	0.2587869263
393	0.2584032631
394	0.2579641914
395	0.2575920868
396	0.2573162079
397	0.2569676971
398	0.2566295815
399	0.2561814117
400	0.2558016968
401	0.2553179359
402	0.2549796486
403	0.2545920181
404	0.254197216
405	0.2537710381
406	0.2533469772
407	0.2529602814
408	0.25268713
409	0.2524691772
410	0.2520733643
411	0.251812439
412	0.2514393234
413	0.2511844254
414	0.2508373833
415	0.2503149033
416	0.2498908806
417	0.2496393776
418	0.2493276215
419	0.2490110779
420	0.2486642456
421	0.2482752228
422	0.2479729652
423	0.2476700592
424	0.2472676086
425	0.246938591
426	0.2465699196
427	0.2462342453
428	0.2460105705
429	0.2455404472
430	0.2452769852
431	0.24486269
432	0.2445894241
433	0.2441435623
434	0.2438806152
435	0.243540802
436	0.243199234
437	0.2427715492
438	0.2425745392
439	0.2423600388
440	0.2420560837
441	0.2417543602
442	0.2413682175
443	0.2409870529
444	0.2406406212
445	0.24036726
446	0.2399273872
447	0.239520607
448	0.2392936325
449	0.2389533806
450	0.2386763954
451	0.2382477188
452	0.2381734848
453	0.2378919411
454	0.2376574707
455	0.2374811935
456	0.2372140503
457	0.2367622757
458	0.2364464569
459	0.2359894753
460	0.2357190514
461	0.23538517
462	0.2350164413
463	0.2347029877
464	0.2344214058
465	0.2341321754
466	0.2338949966
467	0.2335363197
468	0.2333269119
469	0.2329588509
470	0.2326269341
471	0.2323978233
472	0.2321579361
473	0.2318807602
474	0.231654644
475	0.2312716675
476	0.2308398247
477	0.2303982544
478	0.2300447655
479	0.22988554
480	0.2295595932
481	0.2293079376
482	0.2290206909
483	0.2286444092
484	0.2283590698
485	0.2281401443
486	0.2278888702
487	0.2273978043
488	0.2272356606
489	0.2270392609
490	0.2267432976
491	0.2264974594
492	0.2262578201
493	0.2259358788
494	0.2256630325
495	0.2252305222
496	0.2250045776
497	0.2247357941
498	0.2244203377
499	0.2241509819
500	0.2238531494
501	0.2235738754
502	0.22320261
503	0.2230130005
504	0.2228346252
505	0.2223805237
506	0.2222086525
507	0.2219202805
508	0.2217193604
509	0.2214540672
510	0.2210627365
511	0.22078125
512	0.2204532623
513	0.220217762
514	0.2199226761
515	0.2195469856
516	0.2192586136
517	0.2190787506
518	0.2186680222
519	0.2184180069
520	0.2182432556
521	0.2179386139
522	0.2177211571
523	0.2174274445
524	0.2172377777
525	0.2169825363
526	0.2167562485
527	0.2163407516
528	0.2161176491
529	0.2158924294
530	0.2156477737
531	0.215320816
532	0.2151600456
533	0.2149163055
534	0.2147677803
535	0.2145692444
536	0.214334774
537	0.2141165352
538	0.2139110565
539	0.2135941696
540	0.2133943558
541	0.2131624222
542	0.2129117966
543	0.2126743698
544	0.2124337387
545	0.2122500992
546	0.2119592094
547	0.2117887115
548	0.2113534737
549	0.2111103058
550	0.2108588982
551	0.210696907
552	0.2104522705
553	0.2100808716
554	0.2098259735
555	0.2094597054
556	0.2091802979
557	0.2089365578
558	0.2086618805
559	0.2083320236
560	0.2080889893
561	0.2077466965
562	0.2073705101
563	0.2071369362
564	0.2068841171
565	0.2066568184
566	0.2065004349
567	0.206192894
568	0.2060161972
569	0.2057799911
570	0.2055843735
571	0.2052732849
572	0.2050462723
573	0.2048674011
574	0.2047418594
575	0.2045083427
576	0.2043047333
577	0.2040458107
578	0.2038066292
579	0.2033891869
580	0.2031274796
581	0.2028438187
582	0.2025006104
583	0.2023418808
584	0.2022207069
585	0.2019781303
586	0.2017904472
587	0.2015876961
588	0.2014004517
589	0.2011185837
590	0.2009459305
591	0.2006599426
592	0.2004123116
593	0.2001624298
594	0.1997979164
595	0.1995121956
596	0.1993411446
597	0.1990555382
598	0.1988256264
599	0.1984916306
